RSSD,Year
2909200,2022
3823817,2022
3274727,2022
1248742,2022
1479144,2022
2523389,2022
2593083,2022
5292707,2022
2352842,2022
5478903,2022
2798440,2022
2878294,2022
2652104,2022
1951770,2022
1363784,2022
1076495,2022
1076619,2022
5041521,2022
2355759,2022
1249002,2022
1076431,2022
1988646,2022
3836385,2022
1076525,2022
3834710,2022
4346706,2022
1075612,2022
1427211,2022
1478017,2022
2337401,2022
1253821,2022
1076123,2022
3834701,2022
2702250,2022
3070312,2022
1132672,2022
1137426,2022
1143230,2022
3137046,2022
3391129,2022
3137055,2022
1250053,2022
5624205,2022
4875907,2022
2001328,2022
2630193,2022
2929833,2022
3137019,2022
2008130,2022
1249178,2022
2257116,2022
1131750,2022
4366003,2022
2876544,2022
2326179,2022
3136982,2022
5039724,2022
3834729,2022
2155276,2022
5686799,2022
3884863,2022
1133259,2022
2807810,2022
4977397,2022
2913083,2022
2227687,2022
2638582,2022
1404641,2022
3211601,2022
1139925,2022
5581607,2022
2398082,2022
3049617,2022
5534322,2022
3109070,2022
3587427,2022
5619706,2022
4234054,2022
5727601,2022
1076673,2022
3334489,2022
1076329,2022
4949303,2022
1249918,2022
5165070,2022
2818245,2022
2531049,2022
2916020,2022
2942805,2022
5726556,2022
2534406,2022
1076422,2022
2356514,2022
2728447,2022
2152734,2022
2234920,2022
1249271,2022
3917006,2022
3325740,2022
2496269,2022
1139804,2022
2618614,2022
1417324,2022
1248304,2022
1253773,2022
4488857,2022
2429838,2022
3637238,2022
1250679,2022
1075694,2022
1141816,2022
2849799,2022
1132391,2022
1076150,2022
1247679,2022
3163867,2022
3147625,2022
5483372,2022
2730383,2022
3068289,2022
1074156,2022
2722892,2022
1076217,2022
1249347,2022
2082532,2022
5613759,2022
3251027,2022
4517261,2022
3837467,2022
1076169,2022
1076208,2022
3137082,2021
1076691,2021
1138197,2021
1141115,2021
3837542,2021
1971693,2021
1073757,2021
2297701,2021
1076105,2021
3217032,2021
3837373,2021
2835680,2021
1141441,2021
1135842,2021
1426960,2021
3614668,2021
2183493,2021
1357046,2021
2391300,2021
2808590,2021
3927078,2021
2277860,2021
5530258,2021
3848632,2021
3831960,2021
3135190,2021
3597220,2021
2857758,2021
1075881,2021
3219474,2021
1357121,2021
1133969,2021
4880358,2021
1142970,2021
2697954,2021
1076262,2021
1134108,2021
2909200,2021
3823817,2021
3274727,2021
1248742,2021
1479144,2021
2523389,2021
2593083,2021
5292707,2021
2352842,2021
3391129,2021
5478903,2021
2798440,2021
2878294,2021
2652104,2021
1951770,2021
1363784,2021
1076495,2021
1076619,2021
5041521,2021
4553960,2021
2355759,2021
1249002,2021
1076431,2021
1988646,2021
3836385,2021
1076525,2021
3834710,2021
4346706,2021
1075612,2021
1427211,2021
1478017,2021
2337401,2021
1253821,2021
1076123,2021
3834701,2021
2702250,2021
3070312,2021
1132672,2021
1137426,2021
1143230,2021
3137046,2021
3137055,2021
1250053,2021
5624205,2021
4875907,2021
2001328,2021
2630193,2021
2929833,2021
3137019,2021
2008130,2021
1249178,2021
2257116,2021
1131750,2021
4366003,2021
3386910,2021
2876544,2021
2326179,2021
3136982,2021
5039724,2021
3834729,2021
2155276,2021
3884863,2021
1133259,2021
2807810,2021
4977397,2021
3878835,2021
2913083,2021
2227687,2021
2638582,2021
1404641,2021
3211601,2021
1139925,2021
5581607,2021
2398082,2021
3049617,2021
5534322,2021
3109070,2021
3587427,2021
5619706,2021
4234054,2021
1076673,2021
3334489,2021
1076329,2021
4949303,2021
1249918,2021
5165070,2021
2818245,2021
2531049,2021
2916020,2021
2942805,2021
2534406,2021
1076422,2021
2356514,2021
2728447,2021
2152734,2021
2234920,2021
1249271,2021
3917006,2021
3325740,2021
2496269,2021
1139804,2021
2618614,2021
1417324,2021
1248304,2021
1253773,2021
4488857,2021
2429838,2021
3637238,2021
1250679,2021
1075694,2021
1141816,2021
2849799,2021
1132391,2021
1076150,2021
1247679,2021
3163867,2021
3147625,2021
5483372,2021
2730383,2021
3068289,2021
1074156,2021
5471801,2021
2722892,2021
1076217,2021
2082532,2021
5613759,2021
3251027,2021
4517261,2021
3837467,2021
1076169,2021
1076208,2021
3137082,2020
1076691,2020
1138197,2020
1141115,2020
4566232,2020
3837542,2020
1971693,2020
1073757,2020
2297701,2020
1076105,2020
3217032,2020
2560665,2020
3837373,2020
2835680,2020
1141441,2020
1135842,2020
1426960,2020
3614668,2020
2183493,2020
1357046,2020
2391300,2020
2808590,2020
3927078,2020
2277860,2020
5530258,2020
3848632,2020
3831960,2020
3135190,2020
3597220,2020
2857758,2020
1075881,2020
3219474,2020
1357121,2020
1133969,2020
4880358,2020
1142970,2020
2697954,2020
1076262,2020
1134108,2020
2909200,2020
3823817,2020
3274727,2020
1248742,2020
3687046,2020
1479144,2020
2523389,2020
2593083,2020
5292707,2020
2352842,2020
3391129,2020
2798440,2020
2878294,2020
2652104,2020
1951770,2020
1363784,2020
1076495,2020
1076619,2020
5041521,2020
4553960,2020
1076600,2020
2355759,2020
1249002,2020
1076431,2020
1988646,2020
3836385,2020
1076525,2020
3834710,2020
4346706,2020
1075612,2020
1427211,2020
1478017,2020
2337401,2020
1253821,2020
1076123,2020
3834701,2020
2702250,2020
3070312,2020
1132672,2020
1137426,2020
1143230,2020
3137046,2020
3137055,2020
1250053,2020
4875907,2020
2001328,2020
2630193,2020
2929833,2020
3137019,2020
2008130,2020
1249178,2020
2257116,2020
1131750,2020
4366003,2020
3386910,2020
2876544,2020
2326179,2020
3136982,2020
5039724,2020
3834729,2020
2155276,2020
3884863,2020
1133259,2020
2807810,2020
4977397,2020
3878835,2020
2913083,2020
2227687,2020
2638582,2020
1404641,2020
3211601,2020
1139925,2020
2398082,2020
3049617,2020
5534322,2020
3109070,2020
3587427,2020
4234054,2020
1076673,2020
1076329,2020
4949303,2020
1249918,2020
5165070,2020
2818245,2020
2531049,2020
2916020,2020
2942805,2020
2534406,2020
1076422,2020
2356514,2020
2728447,2020
2152734,2020
2234920,2020
1249271,2020
2007647,2020
3917006,2020
2496269,2020
1139804,2020
2618614,2020
1417324,2020
3334489,2020
1253773,2020
3207659,2020
4488857,2020
3831465,2020
2429838,2020
3637238,2020
1250679,2020
1075694,2020
2849799,2020
3325740,2020
1132391,2020
1076150,2020
1247679,2020
3163867,2020
3147625,2020
5483372,2020
2730383,2020
3068289,2020
1074156,2020
5471801,2020
2722892,2020
1076217,2020
2082532,2020
3251027,2020
3628535,2020
4517261,2020
3837467,2020
1076169,2020
1076208,2020
3137082,2019
1076691,2019
1138197,2019
1141115,2019
4566232,2019
3837542,2019
1971693,2019
1073757,2019
2297701,2019
1076105,2019
3217032,2019
2560665,2019
3837373,2019
2835680,2019
1141441,2019
1135842,2019
1426960,2019
3614668,2019
2183493,2019
1357046,2019
2391300,2019
2808590,2019
3927078,2019
2277860,2019
2507790,2019
4256159,2019
3848632,2019
3831960,2019
3135190,2019
3597220,2019
2857758,2019
1075881,2019
3219474,2019
1357121,2019
1133969,2019
4880358,2019
1142970,2019
2697954,2019
1076262,2019
1134108,2019
2909200,2019
3823817,2019
3274727,2019
1248742,2019
3687046,2019
1479144,2019
2523389,2019
2593083,2019
5292707,2019
2352842,2019
3391129,2019
2798440,2019
2878294,2019
1249918,2019
2706726,2019
3412583,2019
2652104,2019
1951770,2019
1363784,2019
1076495,2019
1076619,2019
5041521,2019
4553960,2019
1076600,2019
2355759,2019
1249002,2019
1076431,2019
1988646,2019
1076057,2019
3836385,2019
1076525,2019
3834710,2019
4346706,2019
1075612,2019
1427211,2019
1478017,2019
2337401,2019
1253821,2019
1076123,2019
3834701,2019
2702250,2019
3070312,2019
1132672,2019
1137426,2019
1143230,2019
3137046,2019
3137055,2019
3195448,2019
1250053,2019
4875907,2019
2001328,2019
2630193,2019
2929833,2019
3137019,2019
2008130,2019
1249178,2019
2257116,2019
1131750,2019
4366003,2019
3386910,2019
2876544,2019
2326179,2019
3136982,2019
5039724,2019
3834729,2019
2155276,2019
3884863,2019
1133259,2019
2807810,2019
4977397,2019
3878835,2019
4750714,2019
2913083,2019
2227687,2019
2638582,2019
1404641,2019
3211601,2019
1139925,2019
2398082,2019
3049617,2019
3109070,2019
3587427,2019
4234054,2019
1076673,2019
1076329,2019
4949303,2019
5165070,2019
2818245,2019
2531049,2019
2916020,2019
2942805,2019
2534406,2019
1076422,2019
2356514,2019
2728447,2019
2152734,2019
2234920,2019
1249271,2019
2007647,2019
3917006,2019
2496269,2019
1139804,2019
2618614,2019
1417324,2019
1248304,2019
3334489,2019
1253773,2019
3207659,2019
4488857,2019
3831465,2019
2429838,2019
3637238,2019
1133437,2019
1250679,2019
1075694,2019
2849799,2019
3325740,2019
1132391,2019
1076150,2019
1247679,2019
3163867,2019
3147625,2019
2730383,2019
3068289,2019
1074156,2019
2722892,2019
1076217,2019
2082532,2019
3251027,2019
2623467,2019
3628535,2019
4517261,2019
3837467,2019
1076169,2019
1076208,2019
