RSSD,Year
3837542,2024
1253821,2024
4234054,2024
3137082,2023
1076691,2023
1138197,2023
1141115,2023
3837542,2023
1971693,2023
1073757,2023
2297701,2023
1076105,2023
3217032,2023
2835680,2023
5886245,2023
1141441,2023
1135842,2023
1426960,2023
3614668,2023
5756704,2023
3364178,2023
2183493,2023
1357046,2023
2391300,2023
2808590,2023
3927078,2023
2277860,2023
5530258,2023
3848632,2023
3135190,2023
3597220,2023
2857758,2023
1075881,2023
3219474,2023
1357121,2023
1133969,2023
4880358,2023
1142970,2023
2697954,2023
1076262,2023
1134108,2023
2909200,2023
3823817,2023
3274727,2023
1248742,2023
1479144,2023
2593083,2023
5292707,2023
2352842,2023
5478903,2023
2798440,2023
2878294,2023
2652104,2023
1951770,2023
1363784,2023
1076495,2023
1076619,2023
5041521,2023
2355759,2023
1249002,2023
1076431,2023
1988646,2023
3836385,2023
1076525,2023
3834710,2023
4346706,2023
1075612,2023
1427211,2023
1478017,2023
2337401,2023
1253821,2023
1076123,2023
3834701,2023
2702250,2023
3070312,2023
1132672,2023
1137426,2023
1143230,2023
3137046,2023
3391129,2023
3137055,2023
1250053,2023
5624205,2023
4875907,2023
2001328,2023
2630193,2023
3137019,2023
2008130,2023
1249178,2023
2257116,2023
1131750,2023
4366003,2023
4366003,2023
2876544,2023
2326179,2023
3136982,2023
5039724,2023
5850143,2023
3834729,2023
2155276,2023
5686799,2023
3884863,2023
5613759,2023
1133259,2023
2807810,2023
4977397,2023
2913083,2023
2227687,2023
2638582,2023
1404641,2023
3211601,2023
1139925,2023
5581607,2023
2398082,2023
3049617,2023
5534322,2023
3109070,2023
3587427,2023
5619706,2023
4234054,2023
5727601,2023
1076673,2023
3334489,2023
1076329,2023
5165070,2023
2818245,2023
2531049,2023
2916020,2023
2942805,2023
5726556,2023
2534406,2023
1076422,2023
2356514,2023
2728447,2023
2152734,2023
2234920,2023
1249271,2023
3917006,2023
3325740,2023
1139804,2023
2618614,2023
1417324,2023
1248304,2023
1253773,2023
4488857,2023
2429838,2023
4949303,2023
3637238,2023
1250679,2023
1075694,2023
1141816,2023
2849799,2023
1132391,2023
1076150,2023
1247679,2023
3147625,2023
5483372,2023
2730383,2023
3068289,2023
1074156,2023
2722892,2023
1076217,2023
1249347,2023
2082532,2023
3251027,2023
4517261,2023
3837467,2023
1076169,2023
1076208,2023
3137082,2022
1076691,2022
1138197,2022
1141115,2022
3837542,2022
1971693,2022
1073757,2022
2297701,2022
1076105,2022
3217032,2022
3837373,2022
2835680,2022
1141441,2022
1135842,2022
1426960,2022
3614668,2022
5756704,2022
2183493,2022
1357046,2022
2391300,2022
2808590,2022
3927078,2022
2277860,2022
5530258,2022
3848632,2022
3135190,2022
3597220,2022
2857758,2022
1075881,2022
3219474,2022
1357121,2022
1133969,2022
4880358,2022
1142970,2022
2697954,2022
1076262,2022
1134108,2022
