DocumentID,Year
1107223,2023
2287225,2023
2007218,2023
1133044,2023
4199229,2023
1107081,2023
1137538,2023
3122051,2023
1105014,2023
1109227,2023
1065453,2023
1105359,2023
2693956,2023
3386321,2023
1135897,2023
3211012,2023
5786484,2023
4105266,2023
1917600,2023
5278381,2023
1104110,2023
4378529,2023
1447376,2023
1109601,2023
4215745,2023
3048991,2023
4665322,2023
3601332,2023
3233126,2023
2952541,2023
2649588,2023
3191712,2023
3305434,2023
4475473,2023
4076937,2023
4400354,2023
1406953,2023
2716471,2023
1103878,2023
1101726,2023
1106990,2023
5586862,2023
2706735,2023
2472973,2023
4126225,2023
1109487,2023
5077977,2023
3929821,2023
3234682,2023
1104389,2023
1131666,2023
1138160,2023
2940810,2023
3594872,2023
4136046,2023
2693929,2023
3037557,2023
1105283,2023
3593286,2023
1245068,2023
1107184,2023
3361506,2023
2033226,2023
5534863,2023
1110278,2023
4970802,2023
2960630,2023
4346676,2023
1107308,2023
1105443,2023
3308677,2023
5189450,2023
2497837,2023
3951998,2023
1832749,2023
1108042,2023
2684721,2023
2487913,2023
2155212,2023
5842250,2023
3391679,2023
3193033,2023
3147353,2023
3635560,2023
1132243,2023
4478027,2023
3141034,2023
1133428,2023
2366755,2023
1109599,2023
1108659,2023
1108163,2023
3720082,2023
3798933,2023
3353837,2023
2098412,2023
5375785,2023
2454773,2023
2814528,2023
1105630,2023
1109058,2023
4517298,2023
2465283,2023
2251132,2023
3938720,2023
1885307,2023
3311109,2023
3491869,2023
5679326,2023
4415929,2023
2215415,2023
5008971,2023
1109900,2023
4552356,2023
4839310,2023
3213922,2023
4753528,2023
2013947,2023
1107595,2023
2904960,2023
4276344,2023
1107522,2023
5005626,2023
2868950,2023
1107492,2023
2314260,2023
2299040,2023
2291295,2023
4619437,2023
2591267,2023
5725997,2023
3026896,2023
3828250,2023
5136810,2023
1106365,2023
1133400,2023
1141021,2023
1417454,2023
2325350,2023
1995998,2023
1105685,2023
1104071,2023
3810956,2023
1416578,2023
2148586,2023
1136906,2023
2524210,2023
2759601,2023
2741307,2023
1104325,2023
4848237,2023
5278372,2023
3035227,2023
5211708,2023
1109290,2023
3072660,2023
1104978,2023
1131705,2023
1104503,2023
3130542,2023
1134498,2023
1104231,2023
2112439,2023
1109094,2023
3140288,2023
1133026,2023
5859388,2023
3816547,2023
4253121,2023
1130678,2023
3220274,2023
4575047,2023
1109496,2023
3385511,2023
3828241,2023
1103494,2023
4805829,2023
3530218,2023
1862036,2023
1103234,2023
1144228,2023
5529654,2023
4057262,2023
5041286,2023
1141384,2023
3203138,2023
1137257,2023
5589836,2023
3799006,2023
1103999,2023
5756889,2023
2839969,2023
1110193,2023
1136102,2023
1133222,2023
2344650,2023
4721291,2023
3412798,2023
1109731,2023
3668223,2023
2504285,2023
1104941,2023
1108707,2023
3821372,2023
1109834,2023
1100813,2023
1417137,2023
1107812,2023
2184333,2023
1107009,2023
1107830,2023
3018958,2023
1233627,2023
3685109,2023
2490520,2023
1105528,2023
1107700,2023
1246515,2023
3842658,2023
1102312,2023
2234863,2023
1108097,2023
2299992,2023
3823321,2023
1105470,2023
1109544,2023
1105751,2023
1105751,2023
1108967,2023
1108323,2023
2522337,2023
1108501,2023
3818822,2023
4993173,2023
1109320,2023
1137284,2023
2270254,2023
1241211,2023
2344641,2023
1104923,2023
1106525,2023
1102170,2023
1131956,2023
1427556,2023
1135909,2023
2475590,2023
2723648,2023
1246953,2023
5454288,2023
2126669,2023
5307638,2023
5213690,2023
1107090,2023
3823451,2023
3220836,2023
5139969,2023
2127022,2023
3823974,2023
1102367,2023
3647572,2023
1894998,2023
1104530,2023
4935502,2023
1249280,2023
2557414,2023
1102200,2023
1104017,2023
3554988,2023
2948254,2023
1103207,2023
1104624,2023
3681905,2023
5659506,2023
1199844,2023
1898008,2023
1107072,2023
2505929,2023
2184043,2023
1110205,2023
1109825,2023
3324387,2023
2215451,2023
3218543,2023
2625283,2023
1105818,2023
2344856,2023
1102161,2023
1131460,2023
1130191,2023
4442523,2023
2963556,2023
1026632,2023
1838068,2023
4211831,2023
3137729,2023
2100119,2023
1109571,2023
1106468,2023
1106132,2023
1104567,2023
1106628,2023
1109722,2023
1131527,2023
5085972,2023
2757111,2023
2762384,2023
1108985,2023
2100089,2023
3010288,2023
1132382,2023
1103373,2023
3306561,2023
1106879,2023
1102451,2023
5164448,2023
1108789,2023
3584293,2023
1135057,2023
5193420,2023
3831625,2023
3723953,2023
2227481,2023
3825138,2023
1918081,2023
3069482,2023
3818804,2023
2049142,2023
5592313,2023
2410304,2023
1139671,2023
1107456,2023
4230216,2023
1130829,2023
5325212,2023
1237447,2023
5164439,2023
1109209,2023
1103702,2023
2348087,2023
4851675,2023
2536642,2023
2622116,2023
1107193,2023
1110045,2023
1109964,2023
2507183,2023
1107205,2023
1105078,2023
2127068,2023
1246926,2023
4665265,2023
3472176,2023
3447567,2023
5530605,2023
3615441,2023
1895007,2023
4577984,2023
4759650,2023
1107223,2022
2287225,2022
2007218,2022
1133044,2022
4199229,2022
1107081,2022
1137538,2022
3122051,2022
1105014,2022
1109227,2022
1065453,2022
1105359,2022
2693956,2022
3386321,2022
1135897,2022
3211012,2022
4105266,2022
1917600,2022
5278381,2022
1104110,2022
4378529,2022
1447376,2022
1109601,2022
4215745,2022
3048991,2022
4665322,2022
3601332,2022
3233126,2022
2952541,2022
2649588,2022
3191712,2022
4475473,2022
4076937,2022
4400354,2022
1406953,2022
2716471,2022
1103878,2022
1101726,2022
1106990,2022
5586862,2022
2706735,2022
2472973,2022
4126225,2022
1109487,2022
5077977,2022
3929821,2022
3234682,2022
1104389,2022
1131666,2022
1138160,2022
2940810,2022
3594872,2022
4136046,2022
2693929,2022
3037557,2022
1840351,2022
1105283,2022
3593286,2022
1245068,2022
1107184,2022
3361506,2022
3382332,2022
5534863,2022
1110278,2022
4970802,2022
2960630,2022
4346676,2022
1107308,2022
1105443,2022
3308677,2022
5189450,2022
2497837,2022
3951998,2022
1832749,2022
1108042,2022
2684721,2022
2487913,2022
2155212,2022
3391679,2022
3193033,2022
3147353,2022
3635560,2022
1132243,2022
4478027,2022
3141034,2022
1133428,2022
2366755,2022
1109599,2022
1108659,2022
1108163,2022
3720082,2022
3798933,2022
3353837,2022
2098412,2022
5375785,2022
2454773,2022
2814528,2022
1105630,2022
1109058,2022
4517298,2022
2465283,2022
2251132,2022
3938720,2022
1138423,2022
1885307,2022
3491869,2022
5679326,2022
4415929,2022
2215415,2022
5008971,2022
1109900,2022
4552356,2022
4839310,2022
3213922,2022
4753528,2022
2013947,2022
2883962,2022
1107595,2022
2904960,2022
4276344,2022
1107522,2022
3305434,2022
5005626,2022
2868950,2022
1107492,2022
2314260,2022
2299040,2022
2291295,2022
4619437,2022
2591267,2022
5725997,2022
3026896,2022
3864614,2022
3828250,2022
5136810,2022
1106365,2022
1133400,2022
1141021,2022
1417454,2022
3641767,2022
2325350,2022
1995998,2022
1105685,2022
1104071,2022
3810956,2022
1416578,2022
2148586,2022
1136906,2022
2524210,2022
2759601,2022
2741307,2022
1104325,2022
4848237,2022
5278372,2022
3035227,2022
5211708,2022
1109290,2022
3072660,2022
1104978,2022
1131705,2022
1104503,2022
3130542,2022
1134498,2022
1104231,2022
2112439,2022
1109094,2022
3140288,2022
1133026,2022
3816547,2022
4253121,2022
1130678,2022
3220274,2022
4575047,2022
1109496,2022
3385511,2022
3828241,2022
1103494,2022
3530218,2022
1862036,2022
1103234,2022
1144228,2022
5529654,2022
4057262,2022
5041286,2022
1141384,2022
3203138,2022
1137257,2022
5589836,2022
3799006,2022
1103999,2022
2839969,2022
1110193,2022
1136102,2022
1133222,2022
2344650,2022
4721291,2022
3412798,2022
1109731,2022
4805829,2022
3668223,2022
2504285,2022
1104941,2022
1108707,2022
3821372,2022
1109834,2022
1100813,2022
1417137,2022
1107812,2022
2184333,2022
1107009,2022
1107830,2022
3018958,2022
1233627,2022
3685109,2022
2490520,2022
1105528,2022
1107700,2022
1246515,2022
3842658,2022
1102312,2022
2234863,2022
1108097,2022
2299992,2022
3823321,2022
1105470,2022
1109544,2022
1105751,2022
1108967,2022
1108323,2022
2522337,2022
1108501,2022
3818822,2022
4993173,2022
1109320,2022
1137284,2022
2270254,2022
1241211,2022
2344641,2022
1104923,2022
1106525,2022
1102170,2022
1131956,2022
1140967,2022
1427556,2022
1135909,2022
2475590,2022
2723648,2022
1246953,2022
5454288,2022
2126669,2022
5307638,2022
5213690,2022
1107090,2022
3823451,2022
3220836,2022
5139969,2022
2127022,2022
3823974,2022
1102367,2022
3647572,2022
1894998,2022
1104530,2022
4935502,2022
1249280,2022
2557414,2022
1102200,2022
1104017,2022
3554988,2022
2948254,2022
1103207,2022
1104624,2022
3681905,2022
5659506,2022
1199844,2022
1898008,2022
1107072,2022
2505929,2022
2184043,2022
1110205,2022
1109825,2022
2215451,2022
3218543,2022
2625283,2022
1105818,2022
2344856,2022
1102161,2022
1131460,2022
1130191,2022
4442523,2022
2963556,2022
1026632,2022
1838068,2022
4211831,2022
3137729,2022
2100119,2022
1109571,2022
1106468,2022
1106132,2022
1104567,2022
4842329,2022
1106628,2022
1109722,2022
1131527,2022
5085972,2022
2757111,2022
2762384,2022
1108985,2022
2100089,2022
3010288,2022
1132382,2022
1103373,2022
3306561,2022
1106879,2022
1102451,2022
5164448,2022
1108789,2022
3584293,2022
1135057,2022
5193420,2022
3831625,2022
3723953,2022
2227481,2022
3825138,2022
1918081,2022
3069482,2022
3818804,2022
2049142,2022
5592313,2022
2410304,2022
1139671,2022
1107456,2022
4230216,2022
1130829,2022
5325212,2022
1237447,2022
5164439,2022
1109209,2022
1103702,2022
2348087,2022
4851675,2022
2536642,2022
2622116,2022
1107193,2022
1110045,2022
1109964,2022
2507183,2022
1107205,2022
1105078,2022
2127068,2022
1246926,2022
4665265,2022
3472176,2022
3447567,2022
5530605,2022
3615441,2022
1895007,2022
4577984,2022
4759650,2022
1107223,2021
2287225,2021
2007218,2021
1133044,2021
4199229,2021
1107081,2021
1137538,2021
3122051,2021
1105014,2021
1109227,2021
1065453,2021
1135301,2021
1105359,2021
2693956,2021
3386321,2021
1135897,2021
3211012,2021
4105266,2021
1917600,2021
5278381,2021
1104110,2021
4378529,2021
1447376,2021
1109601,2021
4215745,2021
4665322,2021
3601332,2021
3233126,2021
2952541,2021
2649588,2021
3191712,2021
4475473,2021
4091819,2021
4076937,2021
4400354,2021
1406953,2021
2716471,2021
1103878,2021
3048991,2021
1101726,2021
1106990,2021
5586862,2021
2706735,2021
3345234,2021
2472973,2021
4126225,2021
1109487,2021
5077977,2021
3929821,2021
3234682,2021
1104389,2021
1131666,2021
1138160,2021
2940810,2021
4136046,2021
2693929,2021
3037557,2021
1840351,2021
1105283,2021
3593286,2021
1245068,2021
1107184,2021
3361506,2021
3382332,2021
5534863,2021
1110278,2021
4970802,2021
2960630,2021
4346676,2021
1107308,2021
1105443,2021
3308677,2021
5189450,2021
2497837,2021
3951998,2021
1832749,2021
1108042,2021
2684721,2021
2487913,2021
1909445,2021
2155212,2021
3391679,2021
3193033,2021
3147353,2021
3635560,2021
1132243,2021
4478027,2021
3141034,2021
1133428,2021
2366755,2021
3602133,2021
1109599,2021
1108659,2021
1108163,2021
3720082,2021
3798933,2021
3353837,2021
2098412,2021
5375785,2021
2454773,2021
2814528,2021
1105630,2021
1109058,2021
4517298,2021
2465283,2021
2251132,2021
3938720,2021
1138423,2021
1885307,2021
3311109,2021
3491869,2021
5584662,2021
4415929,2021
2215415,2021
5008971,2021
1109900,2021
1982176,2021
4552356,2021
4839310,2021
3213922,2021
4753528,2021
2013947,2021
2883962,2021
3685109,2021
1107595,2021
2904960,2021
4276344,2021
1107522,2021
3305434,2021
5005626,2021
2868950,2021
1107492,2021
2314260,2021
2299040,2021
2291295,2021
4619437,2021
2591267,2021
3026896,2021
3864614,2021
3828250,2021
5136810,2021
1106365,2021
1133400,2021
1141021,2021
1417454,2021
3641767,2021
2325350,2021
1995998,2021
1105685,2021
1104071,2021
3810956,2021
1416578,2021
2148586,2021
1136906,2021
2524210,2021
2759601,2021
2741307,2021
1104325,2021
4848237,2021
5278372,2021
3035227,2021
5211708,2021
1109290,2021
3072660,2021
1104978,2021
1131705,2021
1104503,2021
3130542,2021
1134498,2021
1104231,2021
2112439,2021
1109094,2021
3140288,2021
1133026,2021
3816547,2021
4253121,2021
1130678,2021
3220274,2021
4575047,2021
