year,item_text,href,reason
2017,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/sb-financial-group-inc-defiance-oh-1071454.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2017/sb-financial-group-inc-defiance-oh-1071454.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/cnb-bancorp-inc-woodsfield-oh-2376969.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/cnb-bancorp-inc-woodsfield-oh-2376969.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/fifth-third-bancorp-cincinnati-oh-1070345.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/fifth-third-bancorp-cincinnati-oh-1070345.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/first-feddelta-bancshares-inc-delta-oh-4151919.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/first-feddelta-bancshares-inc-delta-oh-4151919.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/first-mutual-holding-co-lakewood-oh-4843090.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/first-mutual-holding-co-lakewood-oh-4843090.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/fjsb-banchares-inc-ft-jennings-oh-2524443.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/fjsb-banchares-inc-ft-jennings-oh-2524443.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/northwest-bancshares-inc-warren-pa-4122722.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/northwest-bancshares-inc-warren-pa-4122722.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/ohio-valley-banc-corp-gallipolis-oh-2012436.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/ohio-valley-banc-corp-gallipolis-oh-2012436.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/peoples-bancorp-inc-marietta-oh-1070578.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/peoples-bancorp-inc-marietta-oh-1070578.pdf
2016,,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/valley-central-mhc-liberty-township-oh-4352574.pdf,http_download_error:download failed after 3 retries: 404 Client Error: Not Found for url: https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/banking/fry6-reports/2016/valley-central-mhc-liberty-township-oh-4352574.pdf
