RSSD,Year
4281197,2024
1247576,2024
1126738,2024
1134724,2024
1125254,2024
1127146,2024
3047172,2024
2632571,2024
1123728,2024
1129029,2024
1128639,2024
3470088,2024
1134872,2024
1127799,2024
4412151,2024
1122132,2024
5217915,2024
1919976,2024
3636389,2024
1990087,2024
1128880,2024
1124163,2024
3308510,2024
1122310,2024
3378764,2024
1127717,2024
2351247,2024
1516405,2024
1143922,2024
1127294,2024
1128451,2024
1133549,2024
3184219,2024
1246805,2024
1128349,2024
1020920,2024
1843688,2024
1122963,2024
1125030,2024
3559862,2024
1135114,2024
1964668,2024
1121966,2024
1129065,2024
3823929,2024
2253060,2024
1123782,2024
1246494,2024
2452630,2024
2354592,2024
1125423,2024
3435283,2024
1126989,2024
1134470,2024
1126149,2024
1121229,2024
1126121,2024
2029368,2024
3615272,2024
2359328,2024
1125571,2024
1139103,2024
2359962,2024
1124097,2024
4126609,2024
2565950,2024
1134863,2024
1128947,2024
1127771,2024
2622219,2024
1122178,2024
1126158,2024
1123885,2024
2108227,2024
4264387,2024
1127276,2024
1842935,2024
1131237,2024
1978414,2024
1128040,2024
1140266,2024
1123670,2024
1128899,2024
1142952,2024
1125357,2024
1134845,2024
2577159,2024
2880662,2024
1123401,2024
1127940,2024
2399678,2024
1416671,2024
1128134,2024
1247017,2024
2131373,2024
1122534,2024
1125795,2024
1857171,2024
1126185,2024
1133567,2024
1123858,2024
1127249,2024
3223396,2024
1907106,2024
1126082,2024
1136371,2024
1125898,2024
3207613,2024
1121993,2024
3068636,2024
1125290,2024
2380948,2024
1124659,2024
1125740,2024
1125674,2024
2610766,2024
4394060,2024
3823901,2024
1122217,2024
1134966,2024
1126484,2024
1122057,2024
4237998,2024
1125647,2024
1125553,2024
4404277,2024
1125320,2024
1843576,2024
2728438,2024
4035943,2024
2360043,2024
1132793,2024
4465559,2024
3253825,2024
1124994,2024
1126569,2024
1495788,2024
1496244,2024
1123812,2024
2734028,2024
1143904,2024
2623551,2024
1126523,2024
1123951,2024
1128769,2024
1125580,2024
4203425,2024
1126354,2024
4523440,2024
1141348,2024
1121984,2024
2631798,2024
1127155,2024
1487327,2024
1124202,2024
1127548,2024
1128424,2024
2130303,2024
1121724,2024
1128189,2024
2176105,2024
1126466,2024
3072594,2024
1127409,2024
1129001,2024
3153260,2024
5536791,2024
1363748,2024
1122897,2024
2390013,2024
1124024,2024
1125124,2024
1126242,2024
5280133,2024
1125683,2024
2780717,2024
1485800,2024
1125058,2024
1126493,2024
5735437,2024
1126877,2024
2359869,2024
1245246,2024
1139868,2024
2142324,2024
3800797,2024
2519805,2024
3374243,2024
2619059,2024
2613589,2024
3342411,2024
1132195,2024
1128723,2024
3346624,2024
